ID,LENGTH
TX1-INV24-STR27,-181
TX1-INV25-STR13,-181
TX1-INV25-STR29,-181
TX2-INV3-STR7,-181
TX2-INV3-STR28,-181
TX2-INV4-STR9,-181
TX3-INV4-STR28,-181
TX3-INV9-STR13,-181
TX3-INV9-STR28,-181
TX3-INV12-STR28,-181
TX3-INV13-STR26,-181
TX3-INV15-STR2,-181
TX3-INV16-STR13,181
TX4-INV27-STR11,-181
TX4-INV27-STR28,-181
TX5-INV26-STR5,-181
TX6-INV4-STR8,-181
TX1-INV1-STR19,-180
TX1-INV3-STR22,-180
TX3-INV8-STR12,-180
TX3-INV8-STR28,-180
TX3-INV11-STR14,-180
TX3-INV11-STR28,-180
TX3-INV12-STR15,-180
TX3-INV15-STR9,-180
TX3-INV16-STR11,-180
TX2-INV17-STR14,179
TX3-INV4-STR27,-179
TX3-INV15-STR1,-179
TX6-INV8-STR8,-179
TX3-INV5-STR28,178
TX4-INV12-STR26,-178
TX2-INV17-STR16,-177
TX3-INV4-STR10,-177
TX3-INV15-STR8,-177
TX2-INV17-STR13,176
TX3-INV5-STR30,-176
TX4-INV12-STR25,-176
TX2-INV17-STR15,-175
TX2-INV18-STR8,175
TX3-INV4-STR9,-175
TX3-INV5-STR27,175
TX5-INV12-STR28,-175
TX2-INV18-STR6,-174
TX3-INV4-STR2,-174
TX3-INV5-STR29,-174
TX6-INV10-STR1,-174
TX2-INV18-STR7,173
TX4-INV18-STR27,-173
TX3-INV1-STR28,-172
TX3-INV17-STR9,-172
TX4-INV13-STR29,-172
TX2-INV18-STR5,-171
TX3-INV4-STR1,-171
TX6-INV5-STR7,171
TX6-INV5-STR28,171
TX2-INV17-STR2,170
TX3-INV17-STR8,-170
TX4-INV18-STR26,-170
TX6-INV5-STR26,-170
TX6-INV6-STR12,170
TX6-INV6-STR30,170
TX3-INV1-STR27,-169
TX4-INV13-STR28,-169
TX5-INV18-STR1,-169
TX6-INV5-STR5,-169
TX6-INV5-STR27,169
TX6-INV6-STR10,-169
TX6-INV6-STR28,-169
TX6-INV7-STR14,169
TX2-INV17-STR1,168
TX2-INV17-STR4,-168
TX2-INV18-STR30,168
TX4-INV12-STR18,-168
TX4-INV23-STR6,-168
TX5-INV12-STR27,-168
TX6-INV5-STR6,168
TX6-INV6-STR11,168
TX6-INV6-STR29,168
TX6-INV7-STR30,-168
TX6-INV8-STR16,-168
TX2-INV18-STR28,-167
TX3-INV1-STR24,-167
TX4-INV16-STR2,-167
TX5-INV2-STR2,-167
TX6-INV5-STR4,-167
TX6-INV5-STR25,-167
TX6-INV6-STR27,-167
TX6-INV7-STR12,-167
TX2-INV17-STR3,-166
TX2-INV18-STR29,166
TX4-INV12-STR17,-166
TX6-INV6-STR9,-166
TX6-INV7-STR13,166
TX6-INV7-STR29,-166
TX3-INV1-STR23,-165
TX4-INV23-STR5,-165
TX4-INV23-STR13,-165
TX5-INV3-STR28,-165
TX6-INV7-STR11,-165
TX6-INV15-STR6,-165
TX2-INV18-STR27,-164
TX3-INV5-STR8,164
TX4-INV6-STR30,-164
TX4-INV9-STR28,-164
TX4-INV11-STR8,-164
TX4-INV16-STR1,-164
TX4-INV17-STR24,-164
TX4-INV18-STR19,-164
TX5-INV2-STR1,-164
TX5-INV14-STR5,-164
TX6-INV9-STR6,-164
TX6-INV10-STR28,164
TX6-INV11-STR9,164
TX3-INV1-STR19,-163
TX4-INV4-STR26,-163
TX4-INV6-STR2,-163
TX4-INV10-STR30,-163
TX4-INV13-STR5,-163
TX5-INV7-STR2,-163
TX5-INV15-STR7,-163
TX6-INV2-STR8,-163
TX6-INV4-STR28,163
TX6-INV12-STR2,163
TX6-INV15-STR5,-163
TX6-INV18-STR2,-163
TX6-INV19-STR2,-163
TX6-INV20-STR2,-163
TX6-INV22-STR2,-163
TX1-INV14-STR2,-162
TX2-INV1-STR2,-162
TX2-INV8-STR23,-162
TX2-INV17-STR6,162
TX3-INV5-STR10,-162
TX3-INV13-STR29,162
TX4-INV6-STR29,-162
TX4-INV8-STR26,-162
TX4-INV9-STR27,-162
TX4-INV11-STR7,-162
TX4-INV11-STR24,-162
TX4-INV13-STR21,-162
TX4-INV14-STR8,-162
TX4-INV17-STR23,-162
TX4-INV18-STR18,-162
TX4-INV21-STR30,-162
TX5-INV1-STR24,-162
TX5-INV3-STR27,-162
TX5-INV11-STR2,-162
TX5-INV12-STR6,-162
TX5-INV19-STR29,-162
TX5-INV21-STR29,-162
TX5-INV24-STR29,-162
TX5-INV24-STR30,162
TX6-INV10-STR9,-162
TX6-INV10-STR30,-162
TX6-INV11-STR11,-162
TX6-INV16-STR24,-162
TX1-INV12-STR7,-161
TX1-INV19-STR5,-161
TX2-INV4-STR20,161
TX2-INV5-STR11,-161
TX2-INV9-STR5,161
TX2-INV15-STR23,-161
TX2-INV17-STR8,-161
TX2-INV19-STR14,161
TX2-INV20-STR18,161
TX2-INV25-STR8,-161
TX3-INV1-STR18,-161
TX3-INV5-STR7,161
TX3-INV14-STR29,161
TX3-INV17-STR20,161
TX3-INV23-STR29,-161
TX4-INV4-STR25,-161
TX4-INV6-STR1,-161
TX4-INV10-STR29,-161
TX4-INV14-STR24,-161
TX4-INV20-STR1,-161
TX4-INV20-STR29,-161
TX5-INV4-STR30,-161
TX5-INV7-STR1,-161
TX5-INV8-STR2,-161
TX5-INV9-STR2,-161
TX5-INV11-STR28,-161
TX5-INV15-STR6,-161
TX5-INV19-STR2,-161
TX6-INV2-STR7,-161
TX6-INV4-STR23,161
TX6-INV4-STR26,-161
TX6-INV10-STR27,161
TX6-INV11-STR8,161
TX6-INV12-STR1,161
TX6-INV12-STR4,-161
TX6-INV12-STR24,161
TX6-INV18-STR1,-161
TX6-INV19-STR1,-161
TX6-INV20-STR1,-161
TX6-INV22-STR1,-161
TX1-INV2-STR9,-160
TX1-INV3-STR12,-160
TX1-INV4-STR14,-160
TX1-INV5-STR15,-160
TX1-INV6-STR16,-160
TX1-INV9-STR18,-160
TX1-INV10-STR16,-160
TX1-INV14-STR1,-160
TX1-INV15-STR7,-160
TX1-INV16-STR7,-160
TX1-INV19-STR23,-160
TX1-INV20-STR24,-160
TX1-INV21-STR25,-160
TX1-INV22-STR16,-160
TX1-INV23-STR17,-160
TX1-INV24-STR21,-160
TX1-INV25-STR24,-160
TX2-INV1-STR1,-160
TX2-INV3-STR18,-160
TX2-INV4-STR1,-160
TX2-INV4-STR22,-160
TX2-INV9-STR7,-160
TX2-INV10-STR13,-160
TX2-INV11-STR6,-160
TX2-INV12-STR10,-160
TX2-INV13-STR11,-160
TX2-INV14-STR11,-160
TX2-INV17-STR5,160
TX2-INV17-STR28,-160
TX2-INV19-STR12,-160
TX2-INV20-STR16,-160
TX2-INV21-STR22,-160
TX2-INV22-STR14,-160
TX2-INV23-STR17,-160
TX2-INV24-STR19,-160
TX3-INV5-STR9,-160
TX3-INV5-STR18,-160
TX3-INV8-STR23,-160
TX3-INV9-STR24,-160
TX3-INV10-STR24,-160
TX3-INV11-STR25,-160
